Reference	ID	Tags	Quote	Occurrence	Question	Response
3:14	eh9j			0	What has the writer become to all his people?	The writer has become a laughingstock to all his people.
3:17	prdw			0	What can the writer no longer remember since Yahweh has removed peace from his life?	The writer can no longer remember any happiness.
3:19-20	ilq9			0	What is the writer’s mood as he calls to mind his affliction?	The writer’s mood is one of despair within himself as he calls to mind his affliction.
3:23	b0pm			0	What does the writer say occurs afresh every morning?	The writer says that Yahweh’s merciful actions occur afresh every morning.
3:25-26	ahrv			0	What is Yahweh like toward the one who waits for him and to whose who wait in silence for the salvation of Yahweh?	Yahweh is good to those who wait for him, and wait in silence for Yahweh’s salvation.
3:26-28	b0d5			0	How should a person sit because Yahweh has laid it upon him?	A person should sit alone and silent because Yahweh has laid it upon him.
3:32	xuik			0	What does Yahweh show, even though he brings grief?	Yahweh shows compassion even though he brings grief.
3:33	aeol			0	From where does Yahweh not oppress or torment the sons of men?	Yahweh does not oppress from his heart or torment the sons of men.
3:38	lf1l			0	What two things come out of the mouth of the Most High?	Calamity and success come out of the mouth of the Most High.
3:40-41	r6ie			0	What should the people lift up to God in the heavens when they test and examine their ways and turn back to Yahweh?	The people should lift up their hearts and their hands to God in the heavens.
3:42	wukj			0	What should the people admit that they have done against Yahweh as they pray?	They should admit that they have sinned and rebelled against Yahweh.
3:45	iuyb			0	What does the writer say that Yahweh has made them to be among the peoples?	Yahweh has made them to be castoffs and refuse among the peoples.
3:48-49	l1d8			0	How does the writer describe the tears that flow from his eyes?	His tears are streams of water that flow out from his eyes.
3:52-54	n4b4			0	What does the writer say as his enemies hunt him and destroy his life in a well and place a stone over him?	He says, “I have been cut off!”
3:55-57	uzph			0	What did Yahweh tell the writer when he called on Yahweh’s name and asked Yahweh to hear his cry for help?	Yahweh told him, “Do not fear!”
3:59	xqwz			0	How does the writer ask Yahweh to judge his case?	He asks Yahweh to judge his case justly.
3:63	i8lj			0	Of what is the writer the object from his enemies, whether in their sitting or their rising up?	He is the object of their mocking song.
3:64	xa1t			0	What does the writer ask Yahweh to do to his enemies?	He asks Yahweh to pay back to them as much harm as what their hands have done.
3:66	h0bj			0	What does the writer ask Yahweh to do to his enemies?	he asks Yahweh to pursue his enemies in his anger and destroy them everywhere under the heavens.
4:1	g4ho			0	What has become of the gold and the holy stones?	The gold has become completely tarnished, the purest gold has changed and the holy stones have been poured out at the head of every street.
4:2	fuly			0	What were the sons of Zion, and how are they now valued?	The sons of Zion were precious, valued greater than pure gold, but now they are regarded as clay jars made by potter’s hands.
4:3	x5tf			0	How do the daughters of his people act?	They are as cruel as the ostrich in the desert.
4:4	shf7			0	What happens to the tongue of the nursing baby and what are the children asking for?	The tongue of the nursing baby sticks to the roof of his mouth with thirst and the children are asking for bread but there is nothing for them.
4:5	crwe			0	What has happened to the ones who used to eat expensive food and those who wore scarlet clothing?	The ones who used to eat expensive food are now abandoned and starving, and the ones who wore scarlet clothing are now on top of the garbage heaps.
4:6	t6v9			0	How great is the iniquity of the daughter of his people?	The iniquity of the daughter is greater than the sin of Sodom.
4:7-8	bwhr			0	What were her leaders like before, and how are they now?	Her leaders were like snow that shines, they were as white as milk, their bodies were more ruddy than coral, and their form like sapphire. Now darkness has blackened their appearance, they are unrecognizable, and their skin clings to their withered bones.
4:9	rhyb			0	What does Jeremiah say about those who have been killed by hunger compared to those killed by the sword?	Jeremiah says that those killed by the sword are better off than those killed by hunger.
4:10	x9xl			0	What did the compassionate women do with their children?	They boiled their own children and the children became their food.
4:11	zrei			0	How did Yahweh satisfy his rage?	Yahweh satisfied his rage when he poured out his burning anger, kindled a fire in Zion, and devoured her foundations.
4:12	uq4l			0	What did the kings and the inhabitants of the world not believe could happen to Jerusalem?	They did not believe that an enemy could enter the gates of Jerusalem.
4:13	lv1h			0	What did the enemy do because of the sins of the prophets and the iniquities of the priests?	The enemy entered the gates of Jerusalem.
4:14	ne4b			0	What happened to those prophets and priests?	They wandered like blind men in the streets and were defiled by that blood so no one was able to touch their clothes.
4:15	s9ch			0	What did the prophets and priests cry out?	The prophets and the priests cried out and said to flee and to not touch them.
4:15	n928			0	Where did the prophets and the priests go?	They wandered to other lands where the Gentiles said they could not live there any longer.
4:16	xd19			0	What did Yahweh do to the prophets and the priests?	Yahweh scattered the prophets and priests and does not look on them with favor any longer.
4:16	ben8			0	How are the priests received and how are the elders received?	The priests are not respected anymore and the elders are not shown any concern.
4:17	map9			0	What failed to find worthless help?	Their eyes failed to find help.
4:18	aqxk			0	What did the enemy do to them?	They hunted their steps going through their streets.
4:18	w46w			0	What did the people say about their end?	They said their end was near, their days were finished, and their end had come.
4:19	ppb2			0	How did the people describe the pursuers, and what did the pursuers do to them?	The pursuers were swifter than the eagles and chased them to the mountains and lay in wait for them in the wilderness.
4:20	j4wc			0	What happened to their king?	Their king was captured in the enemy’s pits.
4:21	oudz			0	Why is the daughter of Edom told to rejoice and be glad?	She is told to rejoice and be glad for the cup will pass to her and she will be drunk and strip naked.
4:22	arcg			0	What is the daughter of Zion told?	She is told her guilt is ended and Yahweh will no longer keep her in exile.
4:22	qzih			0	What is the daughter of Edom told?	The daughter of Edom is told Yahweh will punish her guilt and will uncover her sins.
5:1	on3n			0	What does Jeremiah ask Yahweh to do?	Jeremiah asks Yahweh to call to mind what has happened to them and to see their shame.
5:2	r642			0	What does Jeremiah tell Yahweh has happened to their inheritance?	Jeremiah tells Yahweh that their inheritance has been turned over to strangers, and their houses to foreigners.
5:5-6	yxp4			0	How does Jeremiah describe what is happening to them?	Their enemies run after them, they are weary, and they have reached out to the Egyptians and Assyrians for food.
5:7	dknz			0	What are the people saying about sin?	They are saying their fathers sinned and they bear their fathers’ sins.
5:8	p40y			0	What are the people saying about the slaves?	The people are saying the slaves rule over them and there is no one to rescue them.
5:9	tx33			0	How do they describe themselves when they go out to get bread?	They risk their lives to get bread in the face of the sword in the wilderness.
5:10	imrj			0	How do they describe their skin?	Their skin is like an oven and burnt up from the fever of famine.
5:11	ooh3			0	What happened to the women and virgins?	The women of Zion and the virgins of the cities of Judah were raped.
5:12	o1i3			0	What happened to the princes and the elders?	The princes were hung by their hands and the elders were not honored.
5:13	r3bv			0	What happened to the vigorous men and youthful men?	The vigorous men were brought up to the grinding house and the youthful men staggered beneath logs.
5:14	rfnb			0	What happened to the elders and the vigorous men?	The elders were removed from the city gate and the vigorous men from their music.
5:15-16	b35p			0	How do they describe the joy of their heart, their dances, and their crown?	Their joy has ceased, their dances have changed into mourning, and the crown has fallen from their head.
5:17	tgsk			0	What do they say about their hearts and eyes?	Their hearts have become sick and their eyes have grown dim.
5:19	fowu			0	What do they say about Yahweh’s reign and throne?	Yahweh reigns forever and his throne is from generation to generation.
5:20-21	qtfi			0	What do they ask Yahweh?	They ask Yahweh whether he is forgetting them forever, and if he will turn them back to him.
