Reference	ID	Tags	Quote	Occurrence	Question	Response
3:14	ifx7			0	What would never be atoned for by sacrifice or offering?	The iniquity of Eli’s house would never be atoned for by sacrifice or offering.
3:15	e6hl			0	What was Samuel afraid to do in the morning after he opened the doors of the house of Yahweh?	He was afraid to tell Eli about the vision.
3:17-18	hvxl			0	What did Samuel do after Eli told him that he must not hide from him the words that Yahweh had spoken?	Samuel told him everything and hid nothing from him.
3:20	plr2			0	What did all Israel from Dan to Beersheba know about Samuel?	All Israel knew that Samuel was established as a prophet of Yahweh.
4:1-2	huut			0	What was the result of the battle between Israel and the Philistines?	Israel was defeated by the Philistines.
4:3	rd6x			0	What did the elders of Israel decide to do so that they could be saved from the power of their enemies?	The elders decided to bring the Box of the Covenant of Yahweh from Shiloh to be with them.
4:4	va6h			0	Who was with the Box of the Covenant of God?	The two sons of Eli, Hophni and Phinehas, were there with the Box of the Covenant.
4:5-6	y7gc			0	What did the Philistines wonder when they heard the great shout from the people of Israel?	The Philistines wondered about the meaning of the great shout in the camp of the Hebrews.
4:7	dnjn			0	Who did the Philistines say had come into the camp of the Hebrews?	The Philistines said that a god had come into the camp.
4:8	i0hk			0	With what did the Philistines say that the gods of Israel had struck the Egyptians in the wilderness?	They said that the gods had struck the Egyptians with every kind of plague.
4:10-11	d7ji			0	What happened to the two sons of Eli when the Box of God was taken Israel was struck and fled?	The two sons of Eli, Hophni and Phinehas, died.
4:12-13	lumj			0	What did the whole city do when the man from the battle line entered the city and told the news?	When the man told the news, the whole city cried out.
4:14	gjv7			0	What question did Eli ask when he heard the noise of the outcry?	Eli asked what the sound of the tumult meant.
4:16-17	jm9u			0	What did the man tell Eli had happened to his sons and to the Box of God when Israel was defeated?	The man told Eli that his two sons were dead and the Box of God had been taken.
4:18	t6em			0	What was the injury that killed Eli when he fell over backward from his seat by the side of the gate?	Eli broke his neck and he died.
4:19	e16g			0	What happened when Phinehas’s pregnant wife heard that the Box of God was captured and her father-in-law and husband were dead?	Phinehas’s wife knelt down and gave birth because her labor pains suddenly began.
4:21-22	do66			0	What name did Phinehas’s wife give to the baby and why did she give him that name?	She named the baby Ichabod, saying that the glory had departed from Israel because the Box of God had been taken.
5:1-3	ecm0			0	In what position did the people find the idol Dagon the next day after the Philistines brought the Box of God into Dagon’s house?	Dagon was found fallen face down on the ground before the Box of Yahweh.
5:4	y73h			0	What remained of the idol Dagon the next morning after they had set him back in his place?	Only the body of Dagon remained; his head and hands were lying cut off in the doorway.
5:6-7	pn6c			0	Why did the men of Ashdod say that the Box of the God of Israel should not stay with them?	They said it should not stay because the hand of their God was severe against them and against their god Dagon.
5:8	vujt			0	To what place did the Philistines move the Box of the God of Israel?	The Philistines moved the Box to Gath.
5:9	fvkn			0	With what did Yahweh strike the men of the city of Gath?	Yahweh struck them with tumors.
5:10	ycbs			0	What did the people of Ekron say the Box of the God of Israel would do to them?	They said that it would kill them and their people.
5:11	lhky			0	To what place did the people of Ekron ask the rulers to send the Box?	They asked that the Box be sent back to its own place.
5:12	isfz			0	To what place did the cry of the city go?	The cry of the city went up to the heavens.
6:1	uylw			0	For how long was the Box of Yahweh in the Philistines’ country?	The Box was in the country of the Philistines for seven months.
6:2	n3r3			0	Who did the Philistines call to ask for advice on how the Box of Yahweh should be sent back to its own country?	They called for the priests and the diviners to tell them how to send the Box back.
6:3-4	wpyt			0	What did the priests and diviners tell the Philistine people to send as a guilt offering to the God of Israel?	They told the Philistines to send five gold tumors and five gold mice.
6:6	ku6q			0	Why did the priests and diviners say the people should not be stubborn like the Egyptians and Pharaoh were?	Because when God dealt severely with the Egyptians and Pharaoh, they had to let Israel go.
6:7	uxzv			0	What animals did the priests and diviners tell the Philistines to tie to the cart for the Box of Yahweh?	They told the Philistines to hitch two nursing cows to the cart.
6:9	omjr			0	How would the Philistines know that it was Yahweh who had done this great harm to them?	The Philistines would know it was Yahweh if the cows pulling the cart went on their own to Beth Shemesh.
6:10-12	y5w6			0	Where did the nursing cows go with the cart carrying the Box and the gold mice and tumors?	The cows went straight in the direction of Beth Shemesh.
6:13	ty8i			0	What were the people of Beth Shemesh doing when they lifted up their eyes and saw the Box?	They were harvesting their wheat in the valley.
6:14	f0tn			0	What did the people of Beth Shemesh do with the cows that had pulled the cart?	They offered the cows as a burnt offering to Yahweh.
6:15	bqcq			0	Who took down the Box of Yahweh and the box that was with it?	The Levites took down the Box of Yahweh and the box that was with it.
6:16	mx31			0	What did the five rulers of the Philistines do when they saw what had happened?	They returned that day to Ekron.
6:17-18	px28			0	What did the numbers of gold tumors and gold mice represent?	The five gold tumors represented the people of their five cities, and the gold mice represented all the Philistine cities belonging to those rulers.
6:19	pzt3			0	Why did Yahweh strike some of the men of Beth Shemesh?	Yahweh struck them because they looked into his Box.
6:21	d5jr			0	What did the messengers from Beth Shemesh ask the people of Kiriath Jearim to do?	The messengers asked the people of Kiriath Jearim to come and take the Box of Yahweh to their city.
7:1	ngq8			0	What did the men of Kiriath Jearim do to Abinadab’s son, Eleazar, so that he could take care of the Box of Yahweh?	They consecrated him to keep the Box of Yahweh.
7:2	enfi			0	What did all the house of Israel do during the twenty years that the Box remained in Kiriath Jearim?	During that time, the Israelite people were very sorry that Yahweh was not helping them anymore.
7:3-4	aru0			0	What did Samuel tell the people of Israel that they needed to remove from among them for Yahweh to rescue them from the Philistines?	Samuel told them that they needed to remove the foreign gods and the Ashtoreths from among them and serve Yahweh only.
7:5-6	gstw			0	What did the people of Israel admit that they had done when they gathered at Mizpah?	They admitted that they had sinned against Yahweh.
7:7-8	vsrc			0	Why did the people of Israel ask Samuel to call out to Yahweh for them?	They were afraid because they heard that the rulers of the Philistines were coming to attack them.
7:9	x20r			0	What did Yahweh do when Samuel offered a lamb as a burnt offering and cried out to him?	Yahweh answered Samuel.
7:10	u38f			0	What did Yahweh do that threw the Philistines into confusion as they drew near to attack Israel?	Yahweh thundered with a great sound on that day against the Philistines.
7:12	r495			0	What did Samuel set up between Mizpah and Shen as a remembrance that Yahweh had helped them?	Samuel took a stone and set it up.
7:14	xmiw			0	What happened to the towns that the Philistines had taken from Israel?	They were recaptured by Israel.
7:15-16	cfuo			0	What did Samuel do as he went on a circuit to Bethel, Gilgal, Mizpah, and back to Ramah?	Samuel judged Israel in all these places.
8:1-3	pfia			0	In what ways did Samuel’s two sons, who were judges, not walk in the ways of their father?	They were not honest like their father. They accepted bribes, and they did not make honest decisions about people’s disputes.
8:4-5	bydb			0	What request did the elders of Israel make of Samuel?	They asked Samuel to appoint a king to judge them, like all the other nations.
8:6	d3op			0	What did Samuel do when he was displeased by the elders’ request to give them a king?	Samuel prayed to Yahweh.
8:7	raxq			0	Why did Yahweh tell Samuel to listen to the voice of the people?	Yahweh told Samuel to listen because the people were not rejecting Samuel, but they were rejecting Yahweh from reigning over them.
8:8-9	blnh			0	What warning did Yahweh tell Samuel to give to the people of Israel?	Yahweh told Samuel to warn the people about the way the king would rule over them.
8:10-12	gfia			0	For what did Samuel warn the people that a king would take their sons?	Samuel warned that the king would take their sons to be officers and soldiers, to plow his fields and harvest his crops, and to make weapons of war.
8:13-15	jbmy			0	How did Samuel warn the people about what a king would do with their daughters and property?	Samuel warned that the king would take their daughters to be perfumers, cooks, and bakers, and he would take the best of their fields and vineyards and olive groves to give to his attendants.
8:16-17	pdtg			0	How did Samuel warn the people about what a king would do with their servants and animals?	Samuel warned that the king would take their servants, the best of their young men and donkeys, and a tenth of their flocks, and the people would become his servants.
8:18	hm14			0	What did Samuel warn would happen when the people cried out because of the king they had chosen?	Samuel said that Yahweh would not answer them on that day.
8:19-20	f8on			0	How did the people of Israel respond to the warnings from Samuel?	The people refused to listen and said they wanted a king over them so they could be like the other nations.
8:21-22	hbxo			0	What was Yahweh’s response when Samuel repeated the people’s words to him?	Yahweh told Samuel to listen to their voice and appoint a king for them.
9:1-2	cjp5			0	What were the outstanding physical features of Saul, the son of Kish?	Saul was a handsome young man who was taller than any of the other people from his shoulders upward.
9:3-4	t94q			0	What was the outcome when Kish asked his son Saul to go and look for their lost donkeys?	Saul took one of the servants and passed through many places without finding them.
9:5	hm6m			0	What did Saul tell his servant they should do when they came to the land of Zuph?	Saul told his servant that they should go back so his father would not stop being concerned about the donkeys and become concerned about them.
9:6	yoss			0	What different idea did the servant present to Saul?	The servant suggested they should go to a man of God in the city who might tell them the way they should go.
9:7-8	gqa2			0	What did the servant have to give to the man of God so he would tell them which way to go?	The servant had a fourth of a shekel of silver to give to the man of God.
9:9-11	z4i1			0	What did Saul and his servant ask the young women who were coming out to draw water?	Saul and his servant asked if the seer was in the city.
9:12-13	m1ts			0	Why was the seer coming to the city on that day?	The seer was coming to the city because the people were having a sacrifice at the high place, and he would bless the sacrifice.
9:15-16	ayku			0	What did Yahweh reveal to Samuel about Saul’s role in Israel?	Yahweh told Samuel that he was to anoint Saul as ruler over Israel, and Saul would save Yahweh’s people from the hand of the Philistines.
9:17-19	eu0t			0	What invitation did Samuel give to Saul after he revealed that he was the seer Saul was seeking?	Samuel invited Saul to go up and eat with him at the high place.
9:20-21	isdv			0	How did Samuel surprise Saul with what he told him?	Samuel told him that all the desire of Israel was for him and his father’s house, even though Saul was from the least clan of the smallest tribe.
9:23-24	z1d3			0	What did Samuel tell the cook to serve to Saul?	Samuel told the cook to serve Saul the thigh portion that had been set aside for him for the appointed time.
9:25-26	tx1k			0	What did Samuel say to Saul from the roof in the morning?	Samuel told Saul to get up so he could send him on his way.
9:27	perv			0	Why did Samuel tell Saul to stand still for a while on the outskirts of the city?	Samuel told Saul to stand still so Samuel could tell him the word of God.
10:1	xbpr			0	Why did Samuel pour a flask of oil on Saul’s head and kiss him?	He did this because Yahweh had anointed Saul to be a ruler over his inheritance.
10:2	wb84			0	What future event did Samuel share with Saul?	Samuel told Saul that he would find two men near Rachel’s tomb who would tell him that the donkeys had been found.
10:3-4	p40k			0	What did Samuel tell Saul would happen when he came to the oak of Tabor?	Three men going up to God at Bethel would meet him and give him two loaves of bread, which he should take.
10:5-6	f1vl			0	What did Samuel tell Saul would happen when he came to Gibeah of God?	The Spirit of Yahweh would rush upon him, he would prophesy with a group of prophets, and he would be changed into a different man.
10:7-8	in16			0	What instructions did Samuel give to Saul for later?	Samuel told Saul to go down to Gilgal and wait seven days for Samuel to come and offer sacrifices.
10:9	zs4u			0	What happened when Saul turned his back to leave Samuel?	When Saul turned to leave, God changed Saul’s inner being.
10:11-13	xn9h			0	Why did people wonder if Saul was one of the prophets?	They saw him prophesying with the prophets and wondered how this had happened to the son of Kish.
10:14	cfgt			0	What did Saul tell his uncle when he was asked where he had gone?	Saul told his uncle that when he and his servant could not find the donkeys, they went to Samuel.
10:15-16	y6j7			0	What did Saul not tell his uncle about what Samuel had said to him?	Saul did not tell his uncle about the matter of the kingship.
10:17-19	iwhf			0	Why did Yahweh say that Israel had rejected him?	Israel had rejected Yahweh because they had asked for a king to be set over them.
10:20-21	x4i1			0	What happened when Saul, the son of Kish, was chosen as the next king?	They looked for Saul, but he could not be found.
10:22	olzv			0	Where was Saul when he was chosen as the next king?	Saul had hidden himself among the bags.
10:24	fqw6			0	What did Samuel say about the man whom Yahweh had chosen?	Samuel said that there was no one like Saul among all the people.
10:25	vsvq			0	How were the customs of the kingship established and preserved?	Samuel told the people the customs of the kingship, wrote them in a book, and placed the book before Yahweh.
10:27	uy0v			0	How did some wicked men show their dislike for Saul?	Some wicked men despised Saul and did not bring him a gift.
11:1-2	m8cv			0	What was the response of Nahash the Ammonite to the request for a covenant from the men of Jabesh?	He said he would make a covenant with them if he could gouge out all their right eyes and bring disgrace on Israel.
11:3	rpoa			0	How did the elders of Jabesh respond to Nahash’s proposal?	They asked for seven days to send messengers throughout Israel to see if anyone would save them.
11:4-5	wvwi			0	Why were the people in Saul’s town of Gibeah weeping?	They were weeping because they had heard the words of the men from Jabesh.
11:6-8	s63i			0	How did Saul respond to the threat against Jabesh?	The Spirit of God rushed upon him, he became very angry, and he persuaded the men of Israel and Judah to fight.
11:9	jicg			0	What message did the messengers bring back to the men of Jabesh?	They told the men of Jabesh that they would have deliverance the next day by the time the sun was hot.
11:10	mtfz			0	What did the men of Jabesh say to Nahash the Ammonite?	They told Nahash that they would come out to him the next day, and he could do to them whatever seemed good to him.
11:11	am64			0	What was the outcome of the battle between Israel and the Ammonites?	The people of Israel attacked and defeated the Ammonites, and the survivors were totally scattered.
11:12-13	jzdl			0	Why did Saul say that none of the men who opposed him would be put to death?	Saul said no one would be put to death, because that day Yahweh had brought deliverance to Israel.
11:14-15	sy0u			0	Why did Samuel, Saul, and all the people of Israel go to Gilgal?	They went to Gilgal to renew the kingship, make Saul king before Yahweh, and sacrifice peace offerings.
12:4-5	qnrp			0	What did the people of Israel say when Samuel asked if he had ever wronged them?	The people of Israel told Samuel he had not defrauded or oppressed them or taken anything from anyone.
12:6-7	xlx8			0	Why did Samuel tell the people of Israel to present themselves before Yahweh?	He told them to present themselves so he could make the case against them that they should not have asked for a king instead of trusting Yahweh to rescue them.
12:8-9	e1g3			0	What did God do to the ancestors of Israel after they forgot Yahweh their God?	Yahweh sold them into the hand of Sisera, the Philistines, and the king of Moab, who all fought against them.
12:10-11	gsj2			0	What did Yahweh do after Israel’s ancestors cried out to him and asked to be rescued from their enemies?	Yahweh sent Jerubbaal, Bedan, Jephthah, and Samuel to rescue them.
12:12-13	iw7v			0	What did Samuel remind the people of Israel that they had requested?	Samuel reminded the people that they had wanted a king to reign over them, even though Yahweh their God was their king.
12:14-15	n6m0			0	What choice did Samuel present to the people of Israel?	They could fear Yahweh and serve him, or they could rebel against his command and his hand would be against them.
12:16	nc77			0	What did Samuel challenge the people of Israel to do?	Samuel challenged the people to stand and see the great thing Yahweh is doing before their eyes.
12:17-18	u5cr			0	What did Samuel ask Yahweh to send so that the people would know the extent of their wickedness?	He asked Yahweh to send thunder and rain during the wheat harvest.
12:19-20	w2ye			0	How did Samuel respond when the people of Israel realized their sin?	Samuel told the people not to be afraid, but to serve Yahweh with all their heart and not turn aside.
12:22	lofy			0	What message of comfort did Samuel give to the people of Israel?	Samuel comforted the people by telling them that Yahweh would not forsake them, because of his great name.
12:23	jpwd			0	What did Samuel promise to do for Israel?	He promised to continue to pray for them and to instruct them in the good and right way.
12:24	d5pt			0	What did Samuel challenge the people of Israel to do?	Samuel told them to fear Yahweh and serve him faithfully with all their heart, considering the great things he had done for them.
13:2	p4q5			0	What did Saul do with the soldiers he did not choose to be with him?	Saul sent the rest of the soldiers home to their own tents.
13:3-4	d3en			0	How did Israel make itself stink among the Philistines?	They made themselves stink among the Philistines because Jonathan had struck the garrison of the Philistines at Geba.
13:5	jiir			0	How did the Philistines respond to the attack by Jonathan?	They gathered 30,000 chariots, 6,000 horsemen, and people as numerous as the sand on the seashore to fight against Israel.
13:6-7	n1u8			0	How did the men of Israel react to the forces of the Philistines?	They were distressed, so they hid in caves, thickets, cliffs, pits, and cisterns, and some fled across the Jordan.
13:8-10	cipv			0	What did Saul do when Samuel did not come to Gilgal after seven days?	Saul offered the burnt offering himself.
13:11-12	a85n			0	What excuse did Saul give Samuel for not waiting for him to offer the sacrifices?	He said he saw that the Philistine army was going to attack, and he had not yet asked Yahweh to help Israel, so he forced himself to offer the burnt offering.
13:13	eeoi			0	How did Samuel rebuke Saul?	Samuel told Saul that he had acted foolishly by not keeping the command that Yahweh gave him.
13:13-14	qte5			0	What did Samuel say would be the consequences of Saul’s disobedience?	Because Saul did not obey Yahweh’s command, none of his descendants will become king. Instead, Yahweh has found someone else who will do what he wants him to do, and he will make that person the next king of Israel.
13:17	kjr6			0	What strategy did the Philistines use against the people of Israel?	The Philistines sent out soldiers in three groups to attack different Israelite towns.
13:19	ibia			0	What problem did the Israelites face in their fight against the Philistines?	There were no blacksmiths in all the land of Israel, so they could not make swords or spears.
13:22	vats			0	How were the soldiers of Israel hindered on the day of battle?	None of the people with Saul and Jonathan had a sword or spear in their hand.
14:1	jqbk			0	What secret plan did Jonathan, the son of Saul, have?	Jonathan planned to cross over to the Philistines’ garrison, but he did not tell his father.
14:2-3	w6xg			0	What did the six hundred men with Saul not know?	They did not know that Jonathan had gone.
14:6	svaw			0	What proposal did Jonathan present to his young armor-bearer?	Jonathan proposed that they cross over to the garrison of the uncircumcised, because perhaps Yahweh would act for them.
14:7	xm0l			0	What was the armor-bearer’s response to the proposal?	Jonathan’s armor-bearer told him to do all that was in his heart and that he was with him and would help him in all that he wanted to do.
14:8-10	mjh5			0	What would be the sign to Jonathan and his armor-bearer that Yahweh had given the Philistines into their hand?	If the Philistines told them to come up to them, that would be the sign.
14:11-12	xlr6			0	What did Jonathan say to his armor-bearer after the Philistines told them to come up?	He told his armor-bearer to follow him because Yahweh had given the Philistines into the hand of Israel.
14:13-14	rolm			0	What was the result of the attack that Jonathan and his armor-bearer made on the Philistine garrison?	Jonathan and his armor-bearer killed about twenty men.
14:16-17	xvan			0	What did Saul do when his watchmen saw the Philistine army dispersing?	Saul had the people counted to see who was missing, and they discovered it was Jonathan and his armor-bearer.
14:18-19	ttsz			0	Why did Saul tell Ahijah the priest to bring the Box of God to him?	Saul wanted to inquire of God, but he stopped because the tumult in the Philistine camp was increasing.
14:21	kvsd			0	Who rejoined the Israelites who had remained with Saul and Jonathan?	The Hebrews who had previously deserted to the Philistines in their camp rejoined the Israelites. Now those men helped Saul and Jonathan and the other Israelite soldiers fight against the Philistines.
14:23	tfky			0	Who saved Israel that day?	Yahweh saved Israel that day.
14:24	k8dd			0	What caused the men of Israel to be distressed and faint?	Saul had put the people under an oath, cursing any man who ate food before evening.
14:27	txlr			0	How did Jonathan unknowingly break the oath?	Jonathan, who had not heard the oath, ate some honey from a honeycomb.
14:29-30	ggl7			0	How was Jonathan critical of the oath his father had made?	Jonathan said that if the people had been allowed to eat from the plunder of their enemies, the slaughter among the Philistines would have been greater.
14:33-34	o3kn			0	How did the people of Israel sin against Yahweh after their battle against the Philistines?	The people ate meat with the blood still in it.
14:37-38	czof			0	What did Saul believe was the reason why he did not receive an answer when he inquired of God?	Saul believed that God did not answer him on that day because someone had sinned.
14:38-39	yn23			0	How did Saul say he would deal with the sin that had been committed?	He said that the person who committed the sin would surely die, even if it was his son Jonathan.
14:41-42	xepy			0	How was it determined that Jonathan was the person who had sinned?	The priest threw a lot, and it indicated that either Jonathan or Saul had sinned, not one of the other Israelite soldiers. He threw the lot again, and the lot indicated that Jonathan had sinned.
14:45	x2h2			0	How was Jonathan saved from death?	The people redeemed Jonathan and would not allow him to die because he had brought about a great salvation for Israel.
14:47-48	r7my			0	How did Saul lead Israel as their king?	Saul fought against all his enemies on every side and rescued Israel from the hands of those who plundered them.
15:2-3	wk6l			0	Why did Yahweh want Saul to attack and completely destroy Amalek?	Yahweh wanted to punish Amalek for what he had done to Israel when he opposed them on the way up from Egypt.
15:5-7	s7gf			0	Why did Saul tell the Kenites to depart from the Amalekites?	He warned the Kenites to move away because they had shown kindness to the people of Israel when they came up from Egypt. He did not want to kill them when he killed the Amalekites.
15:8-9	kqg9			0	How did Saul disobey the directions that Yahweh had given to him?	Saul spared King Agag and the best of the sheep, cattle, and lambs, and was not willing to devote them to destruction as Yahweh had commanded.
15:10-11	i6qm			0	Why did Yahweh regret that he had made Saul king?	Yahweh regretted making Saul king because Saul had turned from following him and was no longer obedient to him.
15:12-13	vidj			0	What lie did Saul tell Samuel?	Saul told Samuel that he had obeyed what Yahweh told him to do.
15:14	i11i			0	How did Samuel respond to the lie that Saul had told him?	Samuel asked about the bleating of sheep and the lowing of cattle that he was hearing.
15:15	ktei			0	What excuse did Saul give to Samuel to explain his disobedience?	He said the people had spared the best of the sheep and cattle so they could sacrifice them to Yahweh.
15:17-19	cm0z			0	How did Samuel rebuke Saul?	He told Saul that Yahweh had sent him to devote the sinners, the Amalekites, to destruction, but instead he had swooped down on the plunder and done evil.
15:20-21	q1cr			0	What excuse did Saul repeat to Samuel?	Saul insisted that he had obeyed, but that the people brought back the best of the plunder to sacrifice to Yahweh at Gilgal.
15:22-23	y97z			0	What was Samuel’s response to Saul?	Samuel said that to obey is better than sacrifice, and that rebellion is as the sin of divination, and because Saul rejected Yahweh’s word, Yahweh rejected him as king.
15:24	a5tf			0	What reason did Saul give Samuel for his sin?	Saul said he had disobeyed Yahweh’s command because he was afraid of the people, and so he listened to their voice.
15:25-26	lgm1			0	What declaration did Samuel give to Saul from Yahweh?	Samuel said that Yahweh had rejected Saul from being king over Israel because Saul had rejected the word of Yahweh.
15:28	mujd			0	To whom was Yahweh going to give the kingdom of Israel?	Samuel told Saul that Yahweh was going to give the kingdom to one of Saul’s neighbors, an Israelite who was a better man than Saul.
15:32-33	tugu			0	What did Samuel do to finish the task that Saul had not done?	Samuel hacked King Agag to pieces before Yahweh.
16:1	nae2			0	Why did Yahweh tell Samuel to stop mourning for Saul?	Yahweh told him to stop because he had rejected Saul from being king over Israel.
16:2	m3h7			0	What did Samuel fear would happen if Saul heard he was going to Bethlehem?	He feared that Saul would kill him.
16:3	xeqs			0	How did Yahweh say that Samuel would know whom to anoint?	Yahweh told Samuel that he would show him what to do and that Samuel should anoint the one Yahweh told him to anoint.
16:4	zjan			0	How did the elders of Bethlehem act when Samuel arrived?	They came trembling to meet him and asked if his coming was in peace.
16:6	ue60			0	What did Samuel think when he looked at Eliab?	He thought that surely Yahweh’s anointed one was standing before him.
16:7	nt52			0	How did Yahweh explain that he does not see as a human sees?	Yahweh said that a human looks on the outward appearance, but Yahweh looks on the heart.
16:10	wo03			0	What did Samuel say to Jesse after seven of his sons passed before him?	Samuel said that Yahweh had not chosen any of them.
16:11	nea2			0	Where was Jesse’s youngest son before Samuel called for him?	The youngest son was out in the pasture tending the flock of sheep.
16:13	sni9			0	What happened to David after Samuel anointed him?	The Spirit of Yahweh rushed upon David from that day forward.
16:14	iu1x			0	What spirit troubled Saul after the Spirit of Yahweh had turned away from him?	A bad spirit from Yahweh terrified him.
16:16	uevs			0	What did Saul’s servants suggest a skillful player on the lyre could do for him?	When the bad spirit was on Saul, the person would play the lyre, and would calm down.
