Reference	ID	Tags	Quote	Occurrence	Question	Response
2:7-8	u2cc			0	To whom was Peter primarily sent to proclaim the gospel?	Peter was primarily sent to the circumcised, the Jews, to proclaim the gospel.
2:9	bx0g			0	How did the leaders in Jerusalem show their approval of Paul’s ministry?	The leaders in Jerusalem gave Paul and Barnabas the right hand of fellowship to show their approval.
2:11-12	gfg5			0	What error did Peter make when he came to Antioch?	Peter stopped eating with the Gentiles, because he feared the men who had been circumcised.
2:14	q11q			0	What did Paul ask Cephas in front of everyone?	Paul asked Cephas how he could force Gentiles to live like Jews when Cephas was living like a Gentile.
2:16	zqqn			0	Paul said that no one is justified by what?	Paul said that no one is justified by the works of the law.
2:16	h9tg			0	How is a person justified before God?	A person is justified before God by faith in Christ Jesus.
2:18	eljf			0	If someone returns to trying to follow the law after having faith in Christ, what does Paul say he has actually become?	Paul says he shows himself actually to be a law breaker.
2:20	c7ji			0	Who did Paul say now lived in him?	Paul said that Christ now lived in him.
2:20	stq0			0	What does Paul say the Son of God did for him?	Paul says the Son of God loved him and gave himself for Paul.
3:6	n5o2			0	How was Abraham considered righteous before God?	Abraham believed God, and it was credited to him as righteousness.
3:7	ihwt			0	Who are the sons of Abraham?	Those who believe God are the sons of Abraham.
3:8	ibj7			0	The scripture foresaw that the Gentiles would be justified in what way?	The scripture foresaw that the Gentiles would be justified by faith.
3:10	t6yk			0	Those who rely on the works of the law to be justified are under what?	Those who rely on the works of the law to be justified are under a curse.
3:11	wofi			0	How many people have been justified by God through the works of the law?	No one has been justified through the works of the law.
3:13-14	ks37			0	Why did Christ redeem us by becoming a curse for us?	Christ redeemed us by becoming a curse for us so that the blessing upon Abraham might come to the Gentiles.
3:16	kljb			0	Who was the “descendant” that was spoken of in the promise to Abraham?	The “descendant” spoken of in the promise to Abraham was Christ.
3:17	rkbr			0	Did the coming of the Jewish law 430 years after Abraham void the promise God made to Abraham?	No, the law did not void the promise made to Abraham.
3:19	r3x5			0	Why then was there the law?	The law came because of transgressions until Abraham’s descendant came.
3:22	jvvr			0	What did the law in scripture imprison everyone under?	The law in scripture imprisoned everyone under sin.
3:23-26	vaww			0	How are we released from the imprisonment of the law?	We are released from the imprisonment of the law by faith in Christ Jesus.
3:27	dti9			0	Who has been clothed in Christ?	All who have been baptized into Christ have been clothed in Christ.
3:28	bp4h			0	What different kinds of persons are made one in Christ Jesus?	Jews, Greeks, slaves, free, male, and female are all made one in Christ Jesus.
4:1-2	kml9			0	How does the heir of an estate live while he is a child?	The heir lives like a slave under guardians and trustees until the time set by his father.
4:4-5	gsoo			0	What did God do at the right time in history?	At the right time, God sent forth his Son to redeem those under the law.
4:5	aa5k			0	How did God bring children who were under the law into his family?	God adopted as sons the children who were under the law.
4:6	ge9i			0	What does God send forth into the hearts of his children?	God sends forth the Spirit of his Son into the hearts of his children.
4:8	lmva			0	Before we know God, to whom are we slaves?	Before we know God, we are slaves to the spirits that rule the world, who are not gods at all.
4:9	et22			0	Paul was perplexed that the Galatians were returning to what?	Paul was perplexed that the Galatians were returning again to the ruling spirits of the world.
4:9-11	dcls			0	As he sees the Galatians turning back, what does Paul fear for them?	Paul fears that the Galatians will become slaves again, and that he has labored in vain over them.
4:13	grkg			0	When Paul first came to the Galatians, what problem did he have?	When Paul first came to the Galatians, he had a physical illness.
4:14	v4yn			0	Despite Paul’s problem, how did the Galatians receive him?	Despite Paul’s problem, the Galatians received Paul as an angel of God, as Christ Jesus.
4:17	d3xb			0	Who are the false teachers in Galatia trying to separate?	The false teachers are trying to separate the Galatians from Paul.
4:20-21	s4s2			0	Under what are the false teachers trying to put the Galatians?	The false teachers are trying to put the Galatians back under the law.
4:22	tswh			0	From which two kinds of women did Abraham have two sons?	Abraham had two sons, one from a slave woman and one from a free woman.
4:26	wwsm			0	Who is the symbolic mother of Paul and the believing Galatians?	The Jerusalem above, the free woman, is the symbolic mother of Paul and the believing Galatians.
4:28	gz32			0	Are believers in Christ children of the flesh or children of the promise?	Believers in Christ are children of the promise.
4:29	jmva			0	Who persecutes the children of the promise?	The children of the flesh persecute the children of the promise.
4:30	sdh3			0	With whom do the children of the slave woman not inherit?	The children of the slave woman do not inherit along with the children of the free woman.
4:31	r7te			0	Are believers in Christ children of the slave woman or children of the free woman?	Believers in Christ are children of the free woman.
5:1	rtss			0	For what purpose has Christ set us free?	For freedom Christ has set us free.
5:2	ow5t			0	What did Paul warn the Galatians would happen if they became circumcised?	Paul said that if the Galatians became circumcised, Christ would not benefit them in any way.
5:4	unjp			0	What did Paul warn would happen to all the Galatians who would seek to be justified by following the law?	Paul warned that all the Galatians who would seek to be justified by following the law would be alienated from Christ and would fall away from grace.
5:6	izs9			0	As opposed to circumcision and uncircumcised, what is the only thing that means anything in Christ Jesus?	In Christ Jesus, only faith working through love means anything.
5:10	z2kn			0	Of what is Paul confident regarding the one who has confused the Galatians about the gospel?	Paul is confident that the one who has confused the Galatians about the gospel will bear God’s judgment.
5:11	v9ve			0	Paul says that proclaiming circumcision does what?	Paul says that in proclaiming circumcision, the stumbling block of the cross would be destroyed.
5:13	wgj2			0	How are believers not to use their freedom in Christ?	Believers are to not use their freedom in Christ as an opportunity for the flesh.
5:13	hglc			0	How are believers to use their freedom in Christ?	Believers are to use their freedom in Christ to serve one another in love.
5:14	dwbj			0	The whole law is fulfilled in what one commandment?	The whole law is fulfilled in the commandment, “You must love your neighbor as yourself.”
5:16	ympc			0	How can believers not fulfill the lust of the flesh?	Believers can live by the Spirit, and thus, not fulfill the lust of the flesh.
5:17	a5pf			0	What two things are opposed to each other within the believer?	The Spirit and the flesh are opposed to each other within the believer.
5:20-21	cztb			0	What are three examples of works of the flesh?	Three examples of works of the flesh are any three of the following list: sexual immorality, impurity, lustfulness, idolatry, sorcery, hostility, strife, jealousy, outbursts of anger, rivalry, dissension, sectarian division, envy, drunkenness, and drunken riots.
5:21	ubwn			0	What will those who practice the works of the flesh not receive?	Those who practice the works of the flesh will not inherit the kingdom of God.
5:22-23	k16e			0	What is the fruit of the Spirit?	The fruit of the Spirit is love, joy, peace, patience, kindness, goodness, faith, gentleness, and self-control.
5:24	q615			0	Those who belong to Christ Jesus have done what with the flesh and its passions?	Those who belong to Christ Jesus have crucified the flesh and its passions.
6:1	rthj			0	What should those who are spiritual do if a man is caught in some transgression?	Those who are spiritual should restore that man in a spirit of gentleness.
6:1	xaix			0	For what danger must those who are spiritual watch out?	Those who are spiritual must watch out that they are not also tempted.
6:2	c0kl			0	How do believers fulfill the law of Christ?	Believers fulfill the law of Christ by carrying one another’s burdens.
6:4	uy96			0	How can a person have something in himself to be proud of regarding his work?	A person can have something in himself to be proud of by examining his own work, without comparing himself to anyone else.
6:6	vqa1			0	What must one who is taught the word do with his teacher?	One who is taught the word must share all good things with his teacher.
6:7	z414			0	What happens to whatever a man spiritually plants?	Whatever a man spiritually plants he will harvest.
6:8	onr9			0	What does a man harvest who plants to his own flesh?	A man who plants to his own flesh harvests destruction out of his flesh.
6:8	q4vy			0	What does a man harvest who plants to the Spirit?	Out of the Spirit a man who plants to the Spirit harvests eternal life.
6:9	sx5e			0	If a believer does not give up and continues doing good, what will he receive?	A believer who continues doing good will reap a harvest.
6:10	kigw			0	To whom should believers especially do good?	Believers should especially do good to those of the household of faith.
6:12	tst8			0	What is the motivation of those who want to compel the believers to be circumcised?	Those who want to compel the believers to be circumcised do not want to be persecuted for the cross of Christ.
6:14	tx9g			0	Of what did Paul say he was proud?	Paul said that he was proud of the cross of our Lord Jesus Christ.
6:15	xubf			0	Instead of circumcision or uncircumcision, what is important?	What is important is a new creation.
6:16	d3zg			0	Upon whom does Paul wish peace and mercy?	Paul wishes peace and mercy upon those who live by the rule of the new creation and upon the Israel of God.
6:17	veyw			0	What did Paul carry on his body?	Paul carried the marks of Jesus on his body.
